Trace,
ADEMOD:FM,
A.14.13,N9010A
503 P03 ,1
AF Res Bandwidth,180.00 Hz
AF Start Freq,0 Hz
AF Stop Freq,20.000000 kHz
Attenuation,10 dB
Average Count,10
Average State,Off
BPF,Off
Center Frequency,433900000
Channel BW,1.5 MHz
Demod Time,1.80 s
External Gain,0.00 dB
HPF,Off
Input Z Correction,50 â„?
LPF,80 kHz
PreAmp Band,Low
PreAmp State,Off
Ref Level,0.000 Hz
RF Calibrator,Off
RF Coupling,AC
RF Res Bandwidth,1.6 MHz
RF Span,3.000 MHz
Sweep Time,50.0 ms
Trigger Delay,4.000 ms
Trigger Level,-2.00E+01
192927.8948,
182698.2574,
193807.5231,
262128.638,
261762.8749,
184407.8758,
183008.7632,
181886.449,
183764.0561,
183791.7378,
-351020.4068,
-250917.3171,
-331822.6778,
-100117.793,
-112676.7175,
117435.0625,
179175.7556,
-79904.94503,
-14333.30379,
89055.30538,
-135867.4692,
149225.9596,
279249.7561,
-105539.5691,
-237529.5174,
30279.9573,
-297992.2478,
139526.0367,
-47806.18715,
-124789.0062,
305088.5714,
52084.4235,
-143448.4394,
-130920.0757,
-188975.0618,
-94729.10721,
-174923.4427,
-92915.72477,
-144197.0543,
188148.0454,
78792.73711,
-58806.63105,
91465.02987,
290241.1117,
-106225.3663,
25157.78973,
-13509.39727,
-145189.58,
229869.1502,
-213987.7226,
-255036.9141,
42517.31719,
-146468.9403,
-267359.2488,
110704.5893,
39624.17154,
243850.6636,
398997.4512,
-40691.84749,
14207.22934,
-29858.78046,
98574.36292,
-307164.5493,
87126.52511,
357520.6029,
214520.9437,
-28741.92618,
272897.7286,
-253744.054,
97233.35783,
-209123.2052,
41081.3738,
-54327.95147,
-14607.03361,
-46646.22847,
163003.0814,
-184695.2894,
119641.0238,
-402344.926,
-149676.2068,
-169304.9099,
24778.12947,
-14208.0788,
-83460.29065,
18872.66652,
-109071.3916,
-80831.38737,
-36725.2199,
-130655.2692,
-131118.6677,
-197295.1996,
213106.3317,
140445.4023,
354125.6162,
-67741.68784,
149454.8767,
52503.27944,
-101711.874,
-129685.8864,
-159166.3141,
94846.72342,
-159948.5868,
-147346.2216,
-294084.1805,
41614.2904,
-77466.23268,
-28192.07293,
-223406.1336,
-189153.2872,
-385185.6683,
175450.1508,
4364.448549,
-208037.0768,
-169310.403,
196216.6346,
72049.80391,
-125569.815,
-415921.9531,
57745.64027,
-20082.71196,
-208550.1478,
-143768.6973,
-38006.88877,
100915.5436,
109909.4784,
-3922.863644,
169775.938,
31272.45963,
-150253.7017,
-204986.2347,
135575.1246,
101830.0663,
204602.8235,
11364.53809,
157239.8485,
59137.04885,
-193196.9246,
88979.60888,
-318501.7652,
-164429.3777,
-193004.5538,
-25621.78293,
-420391.3007,
-22900.51884,
56712.08718,
31295.2577,
-2303.139676,
-108690.1811,
-71380.95554,
57634.24303,
121834.0805,
-266808.7217,
74263.64908,
-243910.8353,
32639.03146,
-106909.2481,
-153985.8882,
940.8051149,
-217744.8751,
58134.60507,
97556.07947,
84978.36532,
68803.14472,
-326039.7264,
267870.8267,
-126751.6203,
325940.1123,
25627.2675,
135614.3241,
13134.24787,
53695.54631,
-299669.4926,
161196.588,
131408.7895,
118831.4672,
-52378.12184,
-8107.788821,
-179354.5992,
-43370.96071,
72619.83285,
129089.0307,
13322.4756,
-167772.9917,
-111110.4834,
99877.60686,
65765.8464,
-278557.8146,
245443.8812,
144429.5487,
-22671.51163,
52908.57403,
254144.6793,
-290210.5758,
219971.8305,
-34516.90115,
202221.2035,
-65374.01641,
-188611.317,
483381.947,
130037.908,
-189893.0811,
162008.657,
167381.6655,
18107.26846,
-242282.1443,
210542.7457,
-7428.400785,
171680.9127,
-57320.69024,
-148944.1113,
162119.9792,
-108653.4585,
-354638.4782,
107986.3558,
-173884.7812,
-10996.5054,
61540.91514,
-103656.7072,
-74261.50224,
153631.4092,
-235263.6963,
80126.78969,
13932.63737,
92157.42268,
-32056.48049,
-150012.8443,
133420.2538,
143523.7729,
152809.8251,
245201.4329,
165726.8572,
-169985.891,
-40389.29297,
66037.8626,
-92961.28957,
103408.6522,
-304653.6067,
-490519.5279,
283185.4868,
-121310.6472,
-210959.572,
17771.4388,
15149.29271,
-146449.9711,
-210135.7418,
2273.10615,
-148123.7168,
-206865.8853,
-145752.7239,
48794.40457,
-274105.9284,
63426.08047,
134992.2123,
-452391.7395,
44480.80132,
-312026.4689,
9943.385932,
80468.72018,
-83019.08803,
278244.1138,
-330947.4294,
-3531.044563,
-92492.27069,
-360934.9592,
-135595.0534,
23259.55755,
-203976.0742,
379977.2503,
265617.7634,
167587.0395,
149011.6009,
-20961.51332,
-8988.834492,
51131.90964,
109293.2108,
-52580.00293,
-32663.5743,
-287769.9817,
